"Date","Price","Open","High","Low","Change %"
"07/05/2010","140.24","140.24","140.24","140.24","-0.41%"
"07/02/2010","140.82","140.82","140.82","140.82","-2.20%"
"07/01/2010","143.99","143.99","143.99","143.99","4.98%"
"06/30/2010","137.16","137.16","137.16","137.16","-0.97%"
"06/29/2010","138.50","138.50","138.50","138.50","7.50%"
"06/28/2010","128.84","128.84","128.84","128.84","-2.65%"
"06/25/2010","132.35","132.35","132.35","132.35","-1.49%"
"06/24/2010","134.35","134.35","134.35","134.35","4.13%"
"06/23/2010","129.02","129.02","129.02","129.02","0.51%"
"06/22/2010","128.36","128.36","128.36","128.36","5.18%"
"06/21/2010","122.04","122.04","122.04","122.04","-4.18%"
"06/18/2010","127.37","127.37","127.37","127.37","-4.27%"
"06/17/2010","133.05","133.05","133.05","133.05","-2.21%"
"06/16/2010","136.05","136.05","136.05","136.05","1.24%"
"06/15/2010","134.39","134.39","134.39","134.39","-0.98%"
"06/14/2010","135.72","135.72","135.72","135.72","-3.45%"
"06/11/2010","140.57","140.57","140.57","140.57","-0.23%"
"06/10/2010","140.90","140.90","140.90","140.90","-2.65%"
"06/09/2010","144.74","144.74","144.74","144.74","-5.47%"
"06/08/2010","153.12","153.12","153.12","153.12","4.08%"
"06/07/2010","147.12","147.12","147.12","147.12","2.78%"
"06/04/2010","143.14","143.14","143.14","143.14","5.65%"
"06/03/2010","135.49","135.49","135.49","135.49","-0.25%"
"06/02/2010","135.83","135.83","135.83","135.83","-0.98%"
"06/01/2010","137.17","137.17","137.17","137.17","0.64%"
"05/31/2010","136.30","136.30","136.30","136.30","0.07%"
"05/28/2010","136.20","136.20","136.20","136.20","1.49%"
"05/27/2010","134.20","134.20","134.20","134.20","-4.96%"
"05/26/2010","141.21","141.21","141.21","141.21","-9.80%"
"05/25/2010","156.55","156.55","156.55","156.55","6.34%"
"05/24/2010","147.23","147.23","147.23","147.23","-0.46%"
"05/21/2010","147.91","147.91","147.91","147.91","-3.56%"
"05/20/2010","153.37","153.37","153.37","153.37","4.87%"
"05/19/2010","146.25","146.25","146.25","146.25","8.39%"
"05/18/2010","134.93","134.93","134.93","134.93","0.75%"
